University Name,Total Students,International Students,Total Staffs
Instituto Tecnológico Autónomo de México (ITAM),4697.0,47.0,319.0
Umea University,15354.0,1298.0,1999.0
Tokushima University,7467.0,184.0,966.0
LASALLE College of the Arts,,,
Lebanese Canadian University Lebanon,,,
Mahasarakham University,41112.0,650.0,1212.0
Sojo University,3778.0,83.0,273.0
"American University, School of International Service",,,
Universitas Pembangunan Panca Budi,,,
Kazan National Research Technical University named after A.N.Tupolev-KAI,5478.0,979.0,653.0
University of Pittsburgh-Greensburg,,,
United States International University,,,
Oral Roberts University,,,
Indonesian Institute of Arts Denpasar,0.0,0.0,227.0
Czech College ,,,
Universiti Sains Malaysia (USM),20714.0,7979.0,2330.0
Naveen Jindal School of Management,,,
"University of Economics Ho Chi Minh City, Viet Nam",26286.0,67.0,746.0
"Rotterdam School of Management, Erasmus University",,,
Loei Rajabhat University,7223.0,6.0,235.0
Pontificia Universidad Javeriana,29909.0,887.0,3103.0
"Escuela de Postgrado de las Facultades de Ingeniería, Economía y Empresa",,,
Universitat Rovira i Virgili,13977.0,1904.0,1070.0
Verona University,21807.0,878.0,944.0
Bryn Mawr College,,,
University of Eastern Finland,12231.0,633.0,1264.0
Kochi University,5439.0,91.0,670.0
INSEAD Singapore,,,
Higher Colleges of Technology,16085.0,1321.0,1325.0
Chernihiv Polytechnic National University,4928.0,13.0,428.0
Kimyo International University in Tashkent,,,
University of Nigeria Nsukka,,,
"G.B. Pant University of Agriculture and Technology, Pantnagar",3703.0,2.0,532.0
King Mongkut's University of Technology North Bangkok,28022.0,80.0,1209.0
Universidad Tecnológica Centroamericana (UNITEC),7680.0,,436.0
Haute école de musique de Genève,,,
Voronezh State University of Engineering Technologies,4770.0,457.0,288.0
Antioch University Los Angeles,,,
Sri Sri University,,,
University of Hawaii at West O‘ahu,,,
University of Salerno,24307.0,395.0,1213.0
CheongJu University ,11193.0,358.0,608.0
"University of Wales, Newport",,,
"The University of Tennessee, Knoxville",,,
Binghamton University SUNY,16808.0,1442.0,923.0
Hawler Medical University,2734.0,23.0,553.0
SMU – School of Computing and Information Systems,,,
University of Central Lancashire,21801.0,6688.0,1470.0
University of Cundinamarca,,,
James Madison University,,,
University of Ha'il,21508.0,258.0,1737.0
Universidad Internacional SEK,1942.0,,83.0
LABA Valencia,,,
Zhytomyr Ivan Franko State University,,,
DigiPen Institute of Technology Singapore,,,
Rutgers University–Newark,9979.0,2072.0,792.0
Université Pierre Mendès France - Grenoble 2,16953.0,2982.0,612.0
University of Denver,9417.0,546.0,1030.0
Stevens Institute of Technology,6995.0,2421.0,329.0
"Swiss School of Management - Rome, Italy",,,
Drake University,,,
Samar State University,,,
"ITESO, Universidad Jesuita de Guadalajara",11100.0,114.0,2482.0
Institute of Management Business and Law,,,
ESCE – Ecole Superieure de Commerce Exterieur,,,
Azerbaijan Tourism and Management University,,,
Sohag University,62271.0,97.0,2280.0
Carleton College,,,
Philipps-Universität Marburg ,22511.0,3077.0,1110.0
Universidad Nacional de General Sarmiento (UNGS),13035.0,,793.0
SUAN SUNANDHA RAJABHAT UNIVERSITY,25606.0,289.0,822.0
The Sapir Academic College,,,
Zabaikalsky State University,,,
"Monash Business School, Monash University ",,,
The College of Saint Rose,,,
University of Florence,44198.0,3986.0,1803.0
Tishk International University,,,
Institut Teknologi Nasional Bandung (ITENAS Bandung),7153.0,18.0,319.0
University of Warmia and Mazury in Olsztyn,15629.0,457.0,1672.0
The National University of Ostroh Academy ,3136.0,36.0,394.0
The American University in Cairo,5915.0,254.0,631.0
The Catholic University of Korea ,7262.0,888.0,1461.0
Catania University,25462.0,711.0,1399.0
Veeramata Jijabai Technological Institute,,,
Helsinki Education and Research Area (HERA),,,
Tohoku University,17254.0,1804.0,3366.0
Lebanese American University,8213.0,1219.0,873.0
École Nationale Supérieure de Géologie (ENSG),,,
ESIEE Paris,,,
Ecole Supérieure des Affaires,,,
Colégio Mayor de Antioquia,4047.0,,236.0
Universitas Muhammadiyah Prof. Dr. Hamka ,,,
Nantes Université,37620.0,3948.0,2129.0
Flagler College-St Augustine,,,
"Karnatak University, Dharwad",4405.0,,211.0
Kuban State Agrarian University,,,
Southwestern Law School,,,
Universidad de Antofagasta,8143.0,131.0,382.0
EPITECH - Paris Graduate School of Digital Innovation,,,
Lincoln University - California,,,
Université Tunis Carthage,,,
Universidad del CEMA,8437.0,41.0,250.0
National Institute of Technology Silchar,4845.0,106.0,220.0
Seinan Gakuin University,8452.0,40.0,152.0
Pontificia Universidad Javeriana,29909.0,887.0,3103.0
Manhattan College,,,
Kemerovo State University,13916.0,992.0,822.0
Universidad Politécnica de Madrid (UPM),33821.0,5424.0,2496.0
Nagasaki Junshin Catholic University,,,
Universidad Antonio Narino ,14046.0,48.0,1044.0
Universidad de Los Andes - (ULA) Mérida,20302.0,322.0,2009.0
University of Mazandaran,12336.0,546.0,532.0
Ivanovo State Power Engineering University named after V.I. Lenin (ISPU),5129.0,,600.0
Globe Business College Munich,,,
Universidad Interamericana de Panamá ,13788.0,,530.0
Carl von Ossietzky Universität Oldenburg,,,
Kazan State Power Engineering University,8145.0,538.0,432.0
Macau University of Science and Technology,16734.0,15498.0,790.0
Oglethorpe University,,,
Rafik Hariri University,1165.0,190.0,41.0
Verona University,21807.0,878.0,944.0
"Ross University, School of Medicine",,,
IONIS School of Technology and Management,,,
Nagoya City University ,4540.0,189.0,855.0
University of the Pacific,5533.0,388.0,553.0
Darmstadt University of Applied Sciences,,,
Universiti Putra Malaysia (UPM),16556.0,7225.0,2165.0
University of Poonch Rawalakot (UPR),5149.0,,227.0
Saint-Petersburg State Institute of Technology (Technical University) ,,,
National Textile University Faisalabad,3432.0,38.0,194.0
Gheorghe Dima Music Academy,,,
Singapore Manufactuer's Federation SMA,,,
Universidad Externado de Colombia ,13195.0,164.0,1163.0
University Mozarteum Salzburg,,,
University of New Brunswick,,,
South East European University,6996.0,1697.0,97.0
American Intercontinental University,,,
Robert Day School of Economics and Finance at Claremont McKenna College,,,
Central Academy of Fine Arts (CAFA),,,
Athens Information Technology,,,
Missouri University of Science and Technology,6381.0,625.0,350.0
University of Patras,29310.0,1586.0,1065.0
The Norwegian Film School (NFS),,,
University of Kwazulu-Natal,28964.0,497.0,1605.0
New Jersey Institute of Technology (NJIT),9154.0,2381.0,661.0
Boston School of Modern Languages,,,
Academy of Art University,,,
Universität Innsbruck,14299.0,7243.0,1930.0
University of Ottawa - Telfer School of Management,,,
"CEMS, The Global Alliance in Management Education",,,
Northwestern University,20290.0,3963.0,4158.0
Université Catholique de Lyon,,,
Capella University,,,
University of Business Innovation and Sustainability (UBIS),,,
Notre Dame de Namur University,,,
Agrocampus Ouest,,,
SUNY Oswego,,,
Universidad de Cantabria,,,
Asian Institute of Management,,,
"Sciences Po, Toulouse",,,
National Law School of India University,,,
University of Winnipeg,,,
Mediterranean School of Business- MSB,,,
Jiangsu University,33235.0,2079.0,4498.0
University College of Boras,,,
University ,,,
Gulf College,2600.0,239.0,60.0
School of Engineering,,,
Maastricht University School of Business and Economics,,,
Abilene Christian University,,,
Kyungsung University ,13058.0,1170.0,556.0
Universitas Muhammadiyah Surabaya,,,
Central Queensland University - School of Business and Law,,,
Zicklin School of Business,,,
Hansung University Seoul ,7112.0,240.0,437.0
Antai College of Economics & Management,,,
Universitas Padjadjaran (UNPAD),30841.0,458.0,3405.0
RELIZANE UNIVERSITY,,,
University of Prešov,,,
Hilla University College,,,
Kyungwon University ,,,
"Leeds Business School, Leeds Beckett University",,,
Barnard College,,,
CIMA,,,
Paris College of Art,,,
Emirates Aviation University,,,
Kabardino-Balkarian State University named after H.M. Berbekov,11986.0,249.0,505.0
Australian Catholic University - School of Business,,,
Tashkent State University of Oriental Studies,4664.0,40.0,315.0
CERAM,,,
Tomsk State University of Architecture and Building,,,
INSEEC Business School,,,
"University of California, San Francisco",3094.0,125.0,4482.0
Private Universität Witten/Herdecke,,,
Alderson-Broaddus College,,,
Northern Technical University Iraq,24240.0,10.0,777.0
École Supérieure du Soudage et de Ses Applications (ESSA),,,
MIP - School of Management,,,
Universidad Argentina de la Empresa (UADE),13032.0,857.0,2414.0
Marist College,,,
Linnaeus University Sweden,,,
Hanyang University,21404.0,4797.0,3215.0
École des Ponts Business School,,,
Egypt Japan University of Science & Technology,750.0,0.0,56.0
Hanoi University of Science and Technology,33080.0,156.0,1108.0
University of Ottawa,40289.0,11183.0,1751.0
Baylor University,19155.0,800.0,1281.0
Universidade Federal de Santa Maria,27256.0,155.0,2217.0
Polotsk State University,,,
Preston University Kohat,,,
Universitas Padjadjaran (UNPAD),30841.0,458.0,3405.0
Fachhochschule Jena,,,
"University of Veterinary and Animal Sciences, Lahore, Pakistan",6980.0,68.0,363.0
Kyungnam University ,1851.0,,292.0
Nawroz University,,,
Manchester Metropolitan University - Business School,,,
Tafila Technical University,5100.0,39.0,256.0
Universidad Modelo,1827.0,0.0,265.0
Kempen University College,,,
Universiti Utara Malaysia (UUM),12490.0,3626.0,1303.0
University of West Attica (UNIWA),,,
Universidad Nacional de Educacion a Distancia,,,
North Carolina State University,31928.0,3541.0,1971.0
Conservatoire National des Arts et Métiers (CNAM),,,
Escuela de Negocios y Direccion - ENyD,,,
"Sun Yat-sen University, Guangzhou",62804.0,2872.0,7057.0
Michigan State University,44626.0,4469.0,2996.0
"Hanze University of Applied Sciences, Groningen",,,
University of Amin Eloukkal El Hadj Moussa Ag Akhamouk – Tamanghasset,,,
Université de La Rochelle,,,
"HEC Management School, University of Liege",,,
Institut Supérieur de l'Aéronautique et de l'Espace (ISAE),,,
Jadara University,5023.0,931.0,273.0
ADA University,2868.0,154.0,124.0
Institut National des Sciences Appliquées de Rennes (INSA),,,
German University in Cairo,12947.0,49.0,743.0
Universidad Autónoma de Bucaramanga - UNAB,6207.0,40.0,466.0
Miami Ad School,,,
"IAE Business School, Universidad Austral",,,
Smith MBA at Queen's University,,,
Universidad Tecmilenio,36219.0,427.0,2414.0
Omsk State Technical University,9314.0,1437.0,723.0
Ural State Mining University,,,
Pontifícia Universidade Católica de Campinas,7692.0,32.0,414.0
San Francisco State University,22478.0,1506.0,1180.0
Institute of Technology Sligo,,,
Savitribai Phule Pune University,5871.0,214.0,687.0
University of Applied Arts Vienna ,,,
Bond School of Business,,,
Universidad Nacional de La Matanza,17545.0,,1634.0
NBSSwit,,,
American University of the Caribbean,,,
Université de Djibouti,4420.0,0.0,188.0
Silla University ,9419.0,756.0,403.0
Leeds Trinity & All Saints,,,
Petro Mohyla Black Sea National University,,,
Sacred Heart University,,,
National University of Music Bucharest,,,
"Faculty Of Health Sciences, Western University",,,
Mississippi State University,20203.0,725.0,1124.0
Vorarlberg University of Applied Sciences ,,,
"Eller College of Management, University of Arizona ",,,
Lappeenranta-Lahti University of Technology LUT,4965.0,648.0,331.0
