University Name,Total Students,International Students,Total Staffs
"Sup Biotech, Paris",,,
School of Business and Management,,,
Indian Institute of Technology Bombay (IITB),12702.0,102.0,773.0
Warsaw University of Life Sciences  SGGW (WULS-SGGW),15637.0,1147.0,1277.0
Universidad Para La Paz,0.0,0.0,0.0
Gulf University,285.0,0.0,83.0
Universidad Autónoma de Coahuila (UAdeC),25996.0,,2701.0
MIT Art Design and Technology University,,,
College of Engineering,,,
"Columbia University, School of International and Public Affairs (SIPA)",,,
California State University - Fresno,,,
Graduate School of Education,,,
Pacifico Business School,,,
École Normale Supérieure Lettres et Sciences Humaines,,,
Universidad Cooperativa de Colombia,43170.0,20.0,3326.0
Yonsei University,23587.0,4921.0,3694.0
Ahlia University,1090.0,175.0,104.0
Université Mohammed V - Souissi,,,
Mohammad Ali Jinnah University,,,
Fuji Women's University,,,
MSc TriContinent Global Supply Chain Management Program,,,
Universidad del Salvador,12627.0,946.0,1137.0
Faculty of Human Sciences - Universidade Catolica Portuguesa,,,
Université Laval,26451.0,4637.0,2328.0
Universidad Autónoma de Chiriquí - UNACHI,14795.0,61.0,660.0
"Covenant University, Nigeria",,,
American Graduate School of Business,,,
VIA University College,,,
McAfee School of Business Administration,,,
Lund University School of Economics and Management,,,
School of Visual Arts (SVA),,,
Point Loma Nazarene University,,,
Universidad Arturo Prat ,11532.0,833.0,504.0
Air University Pakistan,6517.0,35.0,876.0
University of Fallujah,4535.0,34.0,350.0
Gordon Institute of Business Science - University of Pretoria,,,
Ahlia University,1090.0,175.0,104.0
Tanta University ,136681.0,2629.0,6193.0
Moravian University,,,
Suratthani Rajabhat University,,,
University of Zalingei,0.0,0.0,0.0
Bauman Moscow State Technical University,15907.0,4311.0,3833.0
Keele University,9878.0,1651.0,733.0
Saint Augustine's University,,,
West Ukrainian National University,8451.0,235.0,667.0
Raffles College of Higher Education,,,
Emory University,13850.0,2279.0,2077.0
Bates College,,,
Tony Parker Adéquat Academy,,,
Institut national des langues et civilisations orientales,,,
Kyoto Women's University,5792.0,6.0,343.0
Kyiv National University of Construction and Architecture (KNUCA),,,
DeVry University Orlando,,,
ITMO University,11007.0,2003.0,1987.0
SUNY Oswego,,,
Everglades University,,,
Campbell University,,,
Sulaiman Al Rajhi University,112.0,83.0,20.0
Rutgers University School of Environmental and Biological Sciences,,,
Asfendiyarov Kazakh National Medical University,11872.0,2647.0,1453.0
Asia Pacific College of Business & Law,,,
Indian Institute of Technology Roorkee (IITR),8950.0,196.0,527.0
Valahia University of Targoviste,,,
Hiram College,,,
Marymount Manhattan College,,,
BEBS - Barcelona executive Business School,,,
Holy Spirit University of Kaslik ,5055.0,912.0,630.0
Singidunum University,6881.0,,235.0
University of Phoenix,,,
Western Washington University ,13831.0,122.0,780.0
Beijing Forestry University,19346.0,346.0,1539.0
Belarusian National Technical University (BNTU),17432.0,1727.0,2111.0
Oslo University College,,,
Kwangwoon University ,8846.0,937.0,515.0
California Polytechnic State University,19925.0,,1124.0
Bharathidasan University,2510.0,,248.0
Indian Institute of Planning and Management (IIPM),,,
Universitas Kristen Satya Wacana - Satya Wacana Christian University,11404.0,60.0,0.0
University of Santo Tomas,26511.0,2028.0,1990.0
University of Indianapolis,,,
Universidad de los Andes - Chile,10512.0,249.0,650.0
Universidad Modelo,1827.0,0.0,265.0
HHL Leipzig Graduate School of Management,,,
