No.,University,URL
10,IMT Atlantique,https://www.topuniversities.com/universities/imt-atlantique
1,Cardiff University,https://www.topuniversities.com/universities/cardiff-university
2,Saint Peter's University,https://www.topuniversities.com/universities/saint-peters-university
3,National Taiwan University (NTU),https://www.topuniversities.com/universities/national-taiwan-university-ntu
4,Narxoz University,https://www.topuniversities.com/universities/narxoz-university
5,University of Antwerp,https://www.topuniversities.com/universities/university-antwerp
6,Sophia University ,https://www.topuniversities.com/universities/sophia-university
7,Foisie Business School,https://www.topuniversities.com/universities/foisie-business-school
8,York University,https://www.topuniversities.com/universities/york-university
9,Al-Farabi Kazakh National University,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university
10,ESILV - Engineering School,https://www.topuniversities.com/universities/esilv-engineering-school
1,"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",https://www.topuniversities.com/universities/hong-kong-polytechnic-university/school-hotel-tourism-management-hong-kong-polytechnic-university
2,L.N. Gumilyov Eurasian National University (ENU),https://www.topuniversities.com/universities/ln-gumilyov-eurasian-national-university-enu
3,University of Southern Queensland,https://www.topuniversities.com/universities/university-southern-queensland
4,"Macquarie University (Sydney, Australia)",https://www.topuniversities.com/universities/macquarie-university-sydney-australia
5,IMT Atlantique,https://www.topuniversities.com/universities/imt-atlantique
6,University of Macau,https://www.topuniversities.com/universities/university-macau
7,The American University of Science,https://www.topuniversities.com/universities/american-university-science
8,Università Vita-Salute San Raffaele,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele
9,University of Liverpool,https://www.topuniversities.com/universities/university-liverpool
10,Universidad Carlos III de Madrid (UC3M),https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m
1,emlyon business school,https://www.topuniversities.com/universities/emlyon-business-school
2,ESCP Business School - Torino,https://www.topuniversities.com/universities/escp-business-school-torino
3,Ferrandi Paris,https://www.topuniversities.com/universities/ferrandi-paris
4,University of Tartu,https://www.topuniversities.com/universities/university-tartu
5,University of Exeter Business School,https://www.topuniversities.com/universities/university-exeter/university-exeter-business-school
6,WU (Vienna University of Economics and Business),https://www.topuniversities.com/universities/wu-vienna-university-economics-business
7,EHL Hospitality Business School,https://www.topuniversities.com/universities/ehl-hospitality-business-school
8,Vlerick Business School,https://www.topuniversities.com/universities/vlerick-business-school
9,University of Debrecen,https://www.topuniversities.com/universities/university-debrecen
10,Universidad de La Sabana,https://www.topuniversities.com/universities/universidad-de-la-sabana
1,Conrad School of Entrepreneurship and Business - University of Waterloo,https://www.topuniversities.com/universities/university-waterloo/conrad-school-entrepreneurship-business-university-waterloo
2,University of Siena,https://www.topuniversities.com/universities/university-siena
3,University of Waikato,https://www.topuniversities.com/universities/university-waikato
4,IE School of Science and Technology,https://www.topuniversities.com/universities/ie-university/ie-school-science-technology
5,Maryland Institute College of Art,https://www.topuniversities.com/universities/maryland-institute-college-art
6,NHH Norwegian School of Economics,https://www.topuniversities.com/universities/nhh-norwegian-school-economics
7,University of Amsterdam,https://www.topuniversities.com/universities/university-amsterdam
8,Deusto Business School - University of Deusto,https://www.topuniversities.com/universities/university-deusto/deusto-business-school-university-deusto
9,Université Côte d'Azur,https://www.topuniversities.com/universities/universite-cote-dazur
10,York University,https://www.topuniversities.com/universities/york-university
1,Lund University,https://www.topuniversities.com/universities/lund-university
2,Università di Padova,https://www.topuniversities.com/universities/universita-di-padova
3,University of Szeged,https://www.topuniversities.com/universities/university-szeged
4,Universidad Europea de Madrid,https://www.topuniversities.com/universities/universidad-europea-de-madrid
5,IPB University (aka Bogor Agricultural University),https://www.topuniversities.com/universities/ipb-university-aka-bogor-agricultural-university
6,Department of Classics,https://www.topuniversities.com/universities/sapienza-university-rome/department-classics
7,Sathyabama Institute of Science and Technology (Deemed to be University),https://www.topuniversities.com/universities/sathyabama-institute-science-technology-deemed-be-university
8,NHH Norwegian School of Economics,https://www.topuniversities.com/universities/nhh-norwegian-school-economics
9,ICN Business School,https://www.topuniversities.com/universities/icn-business-school
10,Universitat Internacional de Catalunya,https://www.topuniversities.com/universities/universitat-internacional-de-catalunya
1,Samara National Research University (Samara University),https://www.topuniversities.com/universities/samara-national-research-university-samara-university
2,KU Leuven,https://www.topuniversities.com/universities/ku-leuven
3,Macao Institute for Tourism Studies (IFTM),https://www.topuniversities.com/universities/macao-institute-tourism-studies-iftm
4,The Catholic University of America,https://www.topuniversities.com/universities/catholic-university-america
5,Sapienza University of Rome,https://www.topuniversities.com/universities/sapienza-university-rome
6,UCAM Universidad Católica San Antonio de Murcia,https://www.topuniversities.com/universities/ucam-universidad-catolica-san-antonio-de-murcia
7,University of Alberta,https://www.topuniversities.com/universities/university-alberta
8,"IÉSEG School of Management, Lille - Paris, France",https://www.topuniversities.com/universities/ieseg-school-management-lille-paris-france
9,University of Siena,https://www.topuniversities.com/universities/university-siena
10,Imperial College London,https://www.topuniversities.com/universities/imperial-college-london
1,INTI International University,https://www.topuniversities.com/universities/inti-international-university
2,Peking University HSBC Business School (PHBS),https://www.topuniversities.com/universities/peking-university/peking-university-hsbc-business-school-phbs
3,University of Business and Technology ,https://www.topuniversities.com/universities/university-business-technology
4,Duke-NUS Medical School,https://www.topuniversities.com/universities/national-university-singapore-nus/duke-nus-medical-school
5,"City, University of London",https://www.topuniversities.com/universities/city-university-london
6,Gulf University for Science and Technology,https://www.topuniversities.com/universities/gulf-university-science-technology
7,Universidad de La Sabana,https://www.topuniversities.com/universities/universidad-de-la-sabana
8,Auckland University of Technology (AUT),https://www.topuniversities.com/universities/auckland-university-technology-aut
9,City University of Hong Kong,https://www.topuniversities.com/universities/city-university-hong-kong
10,Universidade de Vigo,https://www.topuniversities.com/universities/universidade-de-vigo
1,London School of Hygiene & Tropical Medicine,https://www.topuniversities.com/universities/london-school-hygiene-tropical-medicine
2,Duke-NUS Medical School,https://www.topuniversities.com/universities/national-university-singapore-nus/duke-nus-medical-school
3,University of Sussex Business School,https://www.topuniversities.com/universities/university-sussex/university-sussex-business-school
4,Universidad Europea de Madrid,https://www.topuniversities.com/universities/universidad-europea-de-madrid
5,Barcelona School of Economics,https://www.topuniversities.com/universities/barcelona-school-economics
