No.,University,URL
9,Akita Prefectural University,https://www.topuniversities.com/universities/akita-prefectural-university
10,China Europe International Business School (CEIBS),https://www.topuniversities.com/universities/china-europe-international-business-school-ceibs
1,Poznan University of Life Sciences,https://www.topuniversities.com/universities/poznan-university-life-sciences
2,Jinan University,https://www.topuniversities.com/universities/jinan-university
3,City University of Seattle in Bulgaria,https://www.topuniversities.com/universities/city-university-seattle-bulgaria
4,"Karnatak University, Dharwad",https://www.topuniversities.com/universities/karnatak-university-dharwad
5,Tecnológico de Costa Rica -TEC,https://www.topuniversities.com/universities/tecnologico-de-costa-rica-tec
6,"Lee Kuan Yew School of Public Policy, National University of Singapore",https://www.topuniversities.com/universities/national-university-singapore-nus/lee-kuan-yew-school-public-policy-national-university-singapore
7,Accademia Nazionale di Danza,https://www.topuniversities.com/universities/accademia-nazionale-di-danza
8,Rice University,https://www.topuniversities.com/universities/rice-university
9,École Nationale Supérieure de Chimie de Rennes,https://www.topuniversities.com/universities/ecole-nationale-superieure-de-chimie-de-rennes
10,Zhambyl Humanitarian-Technical University,https://www.topuniversities.com/universities/zhambyl-humanitarian-technical-university
1,Universidad Autónoma de Guadalajara (UAG),https://www.topuniversities.com/universities/universidad-autonoma-de-guadalajara-uag
2,Université Lumière Lyon 2,https://www.topuniversities.com/universities/universite-lumiere-lyon-2
3,Universidade Federal de São João del-Rei ,https://www.topuniversities.com/universities/universidade-federal-de-sao-joao-del-rei
4,Ahsanullah University of Science and Technology,https://www.topuniversities.com/universities/ahsanullah-university-science-technology
5,University of Richmond,https://www.topuniversities.com/universities/university-richmond
6,Guildhall School of Music and Drama,https://www.topuniversities.com/universities/guildhall-school-music-drama
7,FURB Universidade Regional de Blumenau,https://www.topuniversities.com/universities/furb-universidade-regional-de-blumenau
8,Sangmyung University ,https://www.topuniversities.com/universities/sangmyung-university
9,Akhbar El Yom Academy,https://www.topuniversities.com/universities/akhbar-el-yom-academy
10,Fundación Universitaria Konrad Lorenz,https://www.topuniversities.com/universities/fundacion-universitaria-konrad-lorenz
1,Ulsan National Institute of Science and Technology (UNIST),https://www.topuniversities.com/universities/ulsan-national-institute-science-technology-unist
2,Université Abdelmalek Essaadi,https://www.topuniversities.com/universities/universite-abdelmalek-essaadi
3,The London Film School,https://www.topuniversities.com/universities/london-film-school
